probe	d0-d1.result	d0-d14.result	d0-d21.result	d0-d28.result	d0-d3.result	d0-d6.result	d1-d14.result	d1-d21.result	d1-d28.result	d1-d3.result	d1-d6.result	d21-d14.result	d28-d14.result	d28-d21.result	d3-d14.result	d3-d21.result	d3-d28.result	d3-d6.result	d6-d14.result	d6-d21.result	d6-d28.result
10019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010132	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
1010133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010138	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1
1010139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010201	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0
1010204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
