ontology	gene_id	kegg_ID	kegg_name	evidence
kegg	A2M	hsa04610	"Complement and coagulation cascades"	
kegg	A4GALT	hsa00603	"Glycosphingolipid biosynthesis - globo series"	
kegg	A4GALT	hsa01100	"Metabolic pathways"	
kegg	AAAS	hsa03013	"RNA transport"	
kegg	AACS	hsa00650	"Butanoate metabolism"	
kegg	AADAT	hsa00300	"Lysine biosynthesis"	
kegg	AADAT	hsa00310	"Lysine degradation"	
kegg	AADAT	hsa00380	"Tryptophan metabolism"	
kegg	AADAT	hsa01100	"Metabolic pathways"	
kegg	AANAT	hsa00380	"Tryptophan metabolism"	
kegg	AANAT	hsa01100	"Metabolic pathways"	
kegg	AARS	hsa00970	"Aminoacyl-tRNA biosynthesis"	
kegg	AARS2	hsa00970	"Aminoacyl-tRNA biosynthesis"	
kegg	AASS	hsa00300	"Lysine biosynthesis"	
kegg	AASS	hsa00310	"Lysine degradation"	
kegg	AASS	hsa01100	"Metabolic pathways"	
kegg	ABAT	hsa00250	"Alanine, aspartate and glutamate metabolism"	
kegg	ABAT	hsa00280	"Valine, leucine and isoleucine degradation"	
kegg	ABAT	hsa00410	"beta-Alanine metabolism"	
kegg	ABAT	hsa00640	"Propanoate metabolism"	
kegg	ABAT	hsa00650	"Butanoate metabolism"	
kegg	ABAT	hsa01100	"Metabolic pathways"	
kegg	ABCA1	hsa02010	"ABC transporters"	
kegg	ABCA1	hsa04975	"Fat digestion and absorption"	
kegg	ABCA10	hsa02010	"ABC transporters"	
kegg	ABCA12	hsa02010	"ABC transporters"	
kegg	ABCA13	hsa02010	"ABC transporters"	
kegg	ABCA2	hsa02010	"ABC transporters"	
kegg	ABCA2	hsa04142	Lysosome	
kegg	ABCA3	hsa02010	"ABC transporters"	
kegg	ABCA4	hsa02010	"ABC transporters"	
kegg	ABCA5	hsa02010	"ABC transporters"	
kegg	ABCA6	hsa02010	"ABC transporters"	
kegg	ABCA7	hsa02010	"ABC transporters"	
kegg	ABCA8	hsa02010	"ABC transporters"	
kegg	ABCA9	hsa02010	"ABC transporters"	
kegg	ABCB1	hsa02010	"ABC transporters"	
kegg	ABCB1	hsa04976	"Bile secretion"	
kegg	ABCB10	hsa02010	"ABC transporters"	
kegg	ABCB11	hsa02010	"ABC transporters"	
kegg	ABCB11	hsa04976	"Bile secretion"	
kegg	ABCB4	hsa02010	"ABC transporters"	
kegg	ABCB4	hsa04976	"Bile secretion"	
kegg	ABCB5	hsa02010	"ABC transporters"	
kegg	ABCB6	hsa02010	"ABC transporters"	
kegg	ABCB7	hsa02010	"ABC transporters"	
kegg	ABCB8	hsa02010	"ABC transporters"	
kegg	ABCB9	hsa02010	"ABC transporters"	
kegg	ABCB9	hsa04142	Lysosome	
kegg	ABCC1	hsa02010	"ABC transporters"	
kegg	ABCC1	hsa04977	"Vitamin digestion and absorption"	
kegg	ABCC10	hsa02010	"ABC transporters"	
kegg	ABCC11	hsa02010	"ABC transporters"	
kegg	ABCC12	hsa02010	"ABC transporters"	
kegg	ABCC2	hsa02010	"ABC transporters"	
kegg	ABCC2	hsa04976	"Bile secretion"	
kegg	ABCC3	hsa02010	"ABC transporters"	
kegg	ABCC3	hsa04976	"Bile secretion"	
kegg	ABCC4	hsa02010	"ABC transporters"	
kegg	ABCC4	hsa04976	"Bile secretion"	
kegg	ABCC5	hsa02010	"ABC transporters"	
kegg	ABCC6	hsa02010	"ABC transporters"	
kegg	ABCC8	hsa02010	"ABC transporters"	
kegg	ABCC8	hsa04930	"Type II diabetes mellitus"	
kegg	ABCD1	hsa02010	"ABC transporters"	
kegg	ABCD1	hsa04146	Peroxisome	
kegg	ABCD2	hsa02010	"ABC transporters"	
kegg	ABCD2	hsa04146	Peroxisome	
kegg	ABCD3	hsa02010	"ABC transporters"	
kegg	ABCD3	hsa04146	Peroxisome	
kegg	ABCD4	hsa02010	"ABC transporters"	
kegg	ABCD4	hsa04146	Peroxisome	
kegg	ABCG1	hsa02010	"ABC transporters"	
kegg	ABCG2	hsa02010	"ABC transporters"	
kegg	ABCG2	hsa04976	"Bile secretion"	
kegg	ABCG4	hsa02010	"ABC transporters"	
kegg	ABCG5	hsa02010	"ABC transporters"	
kegg	ABCG5	hsa04975	"Fat digestion and absorption"	
