taxa	stool-day28-R3_count	stool-day6-R1_count	stool-day14-R7_count	stool-day6-R8_count	stool-day14-R1_count	stool-day0-R4_count	stool-day6-R3_count	stool-day28-R5_count	stool-day6-R6_count	stool-day3-R1_count	stool-day3-R3_count	stool-day28-R8_count	stool-day14-R6_count	stool-day28-R2_count	stool-day0-R2_count	stool-day28-R4_count	stool-day3-R6_count	stool-day28-R1_count	stool-day0-R5_count	stool-day3-R8_count	stool-day14-R2_count	stool-day6-R4_count	stool-day28-R7_count	stool-day3-R7_count	stool-day0-R6_count	stool-day6-R2_count	stool-day14-R3_count	stool-day14-R8_count	stool-day28-R6_count	stool-day6-R7_count	stool-day3-R5_count	stool-day0-R1_count	stool-day14-R4_count	stool-day6-R5_count	stool-day0-R7_count	stool-day3-R2_count	stool-day0-R8_count	stool-day3-R4_count	stool-day0-R3_count	stool-day14-R5_count
Methylobacillus	208	1265	349	292	558	1085	1279	1017	1021	477	410	1258	1268	716	1072	733	1160	521	1147	1169	490	1201	824	884	1385	677	740	817	1187	445	426	813	1270	777	874	1235	1375	986	591	1066
Methanosphaera	30	164	32	342	45	131	222	166	271	148	145	65	53	64	129	79	258	79	73	285	51	221	72	204	142	152	190	56	98	311	158	165	183	134	104	167	234	147	84	47
Polaromonas	1863	4165	1393	2312	1171	3007	4232	3203	4423	2234	2234	3894	2358	2054	2703	2143	4513	1900	2589	3837	1474	4610	2193	3374	4053	2319	1566	1968	3525	3832	2457	2977	2861	2238	3230	2991	3974	3796	1691	1833
Caldanaerobacter	627	4817	3494	3805	2149	6106	5860	5500	5183	5196	4651	4034	2300	2728	4662	4964	5269	2616	4107	4764	3593	5627	1798	4113	4909	4990	5892	5491	3997	4984	4639	5063	7438	3608	3390	4738	4645	4901	3120	2672
Alkalilimnicola	236	456	167	251	240	428	516	647	504	446	264	655	403	339	391	604	473	225	368	458	317	502	346	346	432	417	510	559	722	308	290	445	744	392	308	490	471	328	258	314
Candidatus_Riesia	4	27	9	12	11	69	25	20	31	34	9	18	59	20	35	24	33	17	32	14	17	24	9	25	26	18	17	33	27	8	10	20	32	19	26	35	32	27	18	45
Teredinibacter	699	3144	444	2885	753	3703	4920	3487	3151	3859	3885	2372	1374	1959	2613	1498	3445	904	2525	3055	1828	3908	1781	2929	3404	3880	2741	2493	2899	4125	2642	2291	3604	1490	1813	2977	3193	2454	1856	1335
Herminiimonas	319	1656	620	653	293	905	1776	1135	1343	904	921	946	617	523	1224	728	1753	419	845	1383	381	1454	502	1342	1461	1276	629	924	1046	950	925	1683	885	741	1515	1211	1653	1340	798	494
Capnocytophaga	5921	12604	2030	3024	8095	19464	13537	9196	10530	7603	5474	8693	11245	7185	13710	5061	14145	5594	16930	10925	8131	12268	7496	10799	14644	9866	7999	7822	10427	3782	5453	14908	22377	7403	10439	15938	15173	10570	8000	22544
Thermodesulfovibrio	5	218	22	293	93	195	231	156	649	203	192	104	71	74	149	118	244	61	111	305	66	255	44	194	129	192	172	107	139	458	341	162	206	208	309	221	247	282	150	81
Caulobacter	1196	1774	1286	1174	965	3216	2403	2684	2056	1763	1224	1825	1126	1687	1695	2259	1959	1308	2728	1968	1624	2376	1510	1735	2589	1611	2166	1619	2566	1284	1312	1533	4160	1232	2109	1984	3099	2452	1250	1201
Eubacterium	16819	848260	142710	683046	275095	770137	1168972	942151	877933	1014969	925256	245982	94808	251684	842832	824486	893743	110929	499769	862909	280482	813078	112554	663406	796197	930183	1205176	317552	301291	1041087	739706	825927	1656178	468292	572752	739302	831291	543541	441119	114345
Desulfotalea	247	1307	257	1278	579	1352	1654	2119	1632	1075	842	1597	944	1100	1378	1446	1511	750	1119	1427	521	1627	652	1229	1340	1365	1134	962	1527	1300	1002	1352	1331	1268	1123	1689	1593	1370	900	836
