"","stool.day6.R1_count","stool.day3.R3_count","stool.day6.R8_count","stool.day28.R8_count","stool.day3.R7_count","stool.day3.R2_count","stool.day28.R4_count","stool.day28.R2_count","stool.day6.R4_count","stool.day0.R6_count","stool.day0.R8_count","stool.day6.R5_count","stool.day0.R2_count","stool.day14.R5_count","stool.day6.R7_count","stool.day14.R3_count","stool.day28.R3_count","stool.day0.R4_count","stool.day3.R8_count","stool.day14.R6_count","stool.day28.R6_count","stool.day6.R2_count","stool.day14.R2_count","stool.day14.R1_count","stool.day3.R1_count","stool.day14.R8_count","stool.day0.R5_count","stool.day3.R5_count","stool.day14.R4_count","stool.day28.R1_count","stool.day0.R3_count","stool.day6.R6_count","stool.day3.R6_count","stool.day0.R1_count","stool.day0.R7_count","stool.day28.R7_count","stool.day14.R7_count","stool.day3.R4_count","stool.day6.R3_count","stool.day28.R5_count"
"Corynebacterium_diphtheriae",0.00111638200222098,0.000981013825528607,0.000976944618052224,0.000985904498434652,0.00102735881858912,0.00107489240492012,0.000914774086064013,0.000919364148420186,0.00111179589485723,0.00107533404527534,0.00112712874920574,0.00108614736317411,0.00112883512601893,0.000986360654470717,0.00101098956453567,0.00086250005989397,0.000741532803815016,0.00103255170561496,0.00109457567939332,0.0010562280647988,0.000991167365653218,0.00107594377049515,0.000779110781071574,0.000982770435572539,0.000913462264902134,0.000831300447747654,0.0010832853976409,0.000981151200981564,0.000839041964841166,0.000800286493649483,0.00111916534914965,0.000944351330443588,0.00102345266765397,0.00104686979599845,0.00112919383796209,0.000896793067847477,0.000758814407166826,0.00113864617468042,0.00108862688698452,0.000908210125184619
"unidentified_microorganism",0.000842958526696491,0.000642545413210509,0.000377385186240155,0.000687895985178719,0.000774838605681808,0.000784447385785685,0.000505288408019035,0.000679048652920315,0.000788714015497722,0.000705865379054517,0.000822318091485354,0.00057979756345111,0.000804218675659558,0.000525041345343795,0.000522845180288513,0.00034442935996613,0.000100302613647806,0.00077686524468184,0.000852265079448954,0.000448698660965075,0.00081263086540437,0.000595280282661831,0.000409091001538365,0.000573909631498984,0.000534392329396453,0.000506660447011409,0.000915632322287225,0.000597991184725702,0.000742994525891719,0.000812335268353331,0.000886726113563809,0.000678829355667496,0.000744917388599554,0.000731042498610485,0.00073956421931432,0.000762028765462873,0.000284999397756872,0.00078766336713272,0.000812961365801961,0.000687602594661494
"Paenibacillus_sp._JDR-2",0.00216006670351445,0.00237945123508013,0.00235577166998309,0.00201980756565064,0.00214938755475151,0.0020614705114469,0.00229947115305831,0.00212000978809864,0.00201202062435026,0.00209602959305641,0.00193064262374807,0.00215435256179379,0.00207539973034099,0.001771864175497,0.00228095152883925,0.00216218769756424,0.0021021195953554,0.0019694082902132,0.0021390352148769,0.00170429311023508,0.00196244340262711,0.00225528234318159,0.00207338620591272,0.00206166877617701,0.00229615721504618,0.00220540570720994,0.0019293413802959,0.00221119607517891,0.00214160696765598,0.00202186260654611,0.00217282952263148,0.00207565244944263,0.00207756002847452,0.00212826737802856,0.00204050009219794,0.00183485717472425,0.00228391184464456,0.00199098427677944,0.00217687217847984,0.00213283944486661
"Vibrio_proteolyticus",0.000777113032506823,0.000640760290670356,0.000520156527628427,0.000337705256688612,0.000830615442933829,0.000915853285761366,0.000219634249792501,0.000623661920149016,0.000852644758276733,0.00116250932105969,0.00117117060158315,0.000509726862615702,0.000942584838163647,0.00109179525843893,0.000504988369105401,0.000140399455559368,1.55438806247743e-05,0.00125187170905567,0.0010036720205322,0.00115513333483033,0.000366639995216751,0.000743072160083057,0.000310605439230076,0.000108466963485261,0.000658021070015827,0.000680587608733375,0.00130797529594949,0.000464897263209001,0.000462557629309792,0.00062359032086604,0.00111580605631926,0.000477653159706031,0.000743218373306063,0.000719628712353493,0.000943690992019796,0.000697763505612688,0.000290019114123176,0.00103619838783239,0.000793226331590856,0.000225929820266791
"Pediococcus_damnosus",5.62472253393253e-05,4.47167241543976e-05,3.45421177285023e-05,0.000154336436912005,3.33079450576456e-05,1.76516415067841e-05,3.57917118365343e-05,0.000156172543056913,7.15797093112888e-05,5.26266303248351e-05,4.37430384581528e-05,3.92490961532846e-05,4.19410643800014e-05,0.000178569042005645,2.87189736741835e-05,0.000160995441176207,0.000457179482563509,3.9631211900295e-05,4.11448014098546e-05,0.000318576357623336,0.000186923096836135,3.91035008572943e-05,0.000223462747462883,0.000233291626877773,4.52999063165023e-05,0.000248265477141837,4.01765642875873e-05,6.92882510819264e-05,8.33068834493773e-05,0.00015037996254648,7.26502589567256e-05,8.5493080816108e-05,6.12638269268794e-05,0.000103678674106794,4.64018219638999e-05,0.000293678460461523,0.000132722575500702,6.68063576103795e-05,3.68576138783586e-05,0.000120502110913328
"Shewanella_woodyi",0.000551266710226829,0.000551707166215339,0.000596739259553637,0.000553042912878724,0.000539150912770523,0.000504634116691693,0.000485475781891272,0.000612119630958447,0.000552948549170293,0.000480592242457949,0.000463345423351848,0.00045950130624001,0.000549803937543167,0.000690461596783065,0.000413877394760119,0.000598381631837442,0.00031696490535649,0.000469791496666399,0.000515124048358299,0.000627571795427419,0.000547413348492731,0.0004150560204338,0.000526797051498155,0.000669017458169251,0.000484712603196228,0.000423557357092723,0.000532739564558207,0.000409135948312894,0.00058434776564252,0.00062359032086604,0.000503275173840763,0.000437803765419864,0.000529785416361923,0.000485916705395217,0.000463389461929239,0.000524420720518304,0.000351045389223631,0.00051356164744043,0.000596166727943102,0.000507210933005515
"Clostridium_proteoclasticum",4.56026457819463e-05,3.03179797282713e-05,8.89741327421392e-06,0,6.88161725163973e-06,2.89986981011126e-05,6.17447008508161e-06,0,6.68772190697403e-05,2.42407187383128e-05,1.14008096643648e-05,2.0078638845724e-05,4.75959286938785e-05,0,7.36261324494007e-06,2.33411809094192e-05,0,2.31329402145634e-05,2.98091121782489e-05,0,0,6.32446160609925e-05,0,2.00306090403813e-05,1.34583890869766e-05,0,2.05826584264867e-05,7.46724603686845e-06,2.69461718673426e-05,0,4.9756642751535e-05,2.71529334032651e-05,1.62234168518901e-05,5.88094679615981e-06,1.37911980983584e-05,0,0,1.93433718311336e-05,6.5895517973492e-05,0
"Synechocystis_sp._PCC_6803",0.00130833936900111,0.00127999462131126,0.00104471260105047,0.000871678088815385,0.00130145426945202,0.00135438286474397,0.000938205881540175,0.000967426107602782,0.00148094051213387,0.00149753705911209,0.00156242584344308,0.00120078622994553,0.0013180344764495,0.00124491949441517,0.000941411707221604,0.000813178659994263,0.000325570533973888,0.0015134279579549,0.00135820289501097,0.00141317034412907,0.000854684071280781,0.00113290343366694,0.000945390174990983,0.000719996914653972,0.00123770938382089,0.00116847329437702,0.00167876058906111,0.00128550749057749,0.000830077215788925,0.00120647611169915,0.00177765646665055,0.00133076241638781,0.00124262873169404,0.00132531816509319,0.00204925770170345,0.000962628356004667,0.00152866499761998,0.001767047822975,0.00123410539818298,0.000920060087211266
"Burkholderia_sp._TH2",5.98775375777267e-06,0,8.89741327421392e-06,0,0,0,0,0,0,0,0,0,0,0,7.36261324494007e-06,0,0,5.91205914503455e-06,0,0,0,0,0,0,0,0,6.97690660232459e-06,0,4.62464477073792e-06,0,0,1.10897143220591e-05,0,1.16759469376356e-05,0,0,0,6.55132223090919e-06,0,0
"Aeromonas_sobria",0.000145511470240321,9.79554945555809e-05,6.65299009255679e-05,3.35984398045956e-05,0.000168357799430995,0.000434514523412152,2.41866942641626e-05,2.1816328198958e-05,0.000385961781299874,0.000178713190973221,0.00023303571764825,0.000185704805270278,0.00018465481558992,0,4.90591165683549e-05,5.07201638798977e-05,0,0.000163364521267386,0.000273080811960998,0,3.12707666376377e-05,0.000142904300759416,0,6.645927197318e-05,5.7378648857925e-05,1.10712247609854e-05,0.000136312656830784,0.000209180943041738,1.37098312618305e-05,0,0.000276558249319894,0.000181071551861981,0.000182641565971112,5.00298452039311e-05,0.00012091731813767,3.1546904674837e-05,1.75816890058304e-05,0.000343468321010212,0.000202263235291302,6.28645273683511e-05
