"","inds","deps","slopes","intersects","sps","ips"
"1","Partitiviridae","Partitiviridae",0.0309004598197054,2.29994012502506e-18,1.77165667844154e-15,0.970529838097036
"2","Desulfarculaceae","Partitiviridae",0.134119924546812,-5.33586109005814e-17,7.35646305169487e-16,0.657681398857242
"3","Picobirnaviridae","Partitiviridae",3.27702044363007,0.0411163618290818,0.013832730776677,0.500000000000048
"4","Halomonadaceae","Partitiviridae",1.15480762448465,0.962704358044499,0.0411241185779714,0.0285014566079599
"5","Nostocaceae","Partitiviridae",0.21077737089442,4.0757942382795,0.0354225738248697,0.00105871565116646
"6","Streptococcaceae","Partitiviridae",-1.0244484766565,11.1415242125542,0.0267856924352679,0.00142279857710144
"7","Streptosporangiaceae","Partitiviridae",1.11566787955285,1.68546481912841,0.0259007529884617,0.00990311182897836
"8","Brevibacteriaceae","Partitiviridae",0.00778738398143403,-9.39142217718567e-18,2.99733010053813e-15,0.734169612850976
"9","Conexibacteraceae","Partitiviridae",0.825209771123,1.08979384293724,0.0127094645465623,0.00555690933851846
"10","Veillonellaceae","Partitiviridae",2.63812500898422,4.57418157554586,0.0221852593404677,0.00738996192593996
"11","Potyviridae","Partitiviridae",0.103671129101761,0.0304487954450513,0.031975332853444,0.0627046790432863
"12","Desulfohalobiaceae","Partitiviridae",1.57668525572129,3.36083342942825,0.0334004957551118,0.00905440167302454
"13","Psychromonadaceae","Partitiviridae",0.814357762672225,2.3327537471764,0.00540364878663648,0.00108913781682105
"14","Spirochaetaceae","Partitiviridae",1.08349785083872,4.10053567923442,0.0182759100928522,0.00278883227015106
"15","Clostridiales_Family_XVII._Incertae_Sedis","Partitiviridae",0.0232371709121037,-1.2266347333467e-17,6.99678938052318e-16,0.558252733998514
"16","Syntrophaceae","Partitiviridae",0.817654043056386,1.80100226542595,0.0118184187613705,0.00309813646030671
"17","Pasteuriaceae","Partitiviridae",0.0686179561493695,-2.79059401836374e-17,4.53362992521888e-16,0.503478761944675
"18","Picrophilaceae","Desulfuromonadaceae",0.268554841646544,0.0827752719957074,0.016687984671526,0.0403693784051921
"19","Mycoplasmataceae","Desulfuromonadaceae",0.572041797568633,4.1486600406635,0.00331272256179279,3.90952105824397e-08
"20","Heliobacteriaceae","Desulfuromonadaceae",-0.836200863129505,4.63389646145193,0.0417885526073448,2.31027593660668e-06
