"","inds","deps","slopes","intersects","sps","ips"
"1","P22-like_viruses","Methylobacillus",-1.91399548191597,0.753453437667653,0.0111016568456633,0.0177298525797613
"2","Soehngenia","Methylobacillus",-1.5155848815244,0.560149858630888,0.0462036230582698,0.0727959329542901
"3","P22-like_viruses","Methanosphaera",0.774826188854683,-0.134601845728413,0.015047136513821,0.107372925908935
"4","Morganella","Methanosphaera",0.579991162660391,0.0602331804658793,0.0132709737927872,0.347140656588753
"5","Soehngenia","Methanosphaera",0.74711702558343,-0.0619710908068051,0.0251576776882383,0.495941667833336
"6","Caldanaerobius","Polaromonas",-0.418068302036458,0.232738451206278,0.0104647068479757,0.00562466120972784
"7","Thermobispora","Polaromonas",0.479161997166822,-0.00534065757829194,0.0266790125009486,0.930014335424871
"8","P22-like_viruses","Caldanaerobacter",0.727009570162923,-0.448223358484133,0.00912797454133333,0.00603171387836605
"9","Soehngenia","Caldanaerobacter",0.83714310472028,-0.3623642834634,0.0247861957286915,0.0270126393954308
"10","Bosea","Alkalilimnicola",-0.231784666492045,0.182791897461785,0.0427373862102,0.0313096226988882
"11","Faecalibacterium","Candidatus_Riesia",-0.330589744059581,0.0415337742450715,0.0050019257042285,0.0229765541527407
"12","Heliophilum","Candidatus_Riesia",-0.211809449316455,-0.0772465204980538,0.046455440349688,0.0519552006491735
"13","Kluyvera","Herminiimonas",0.569014070361585,-0.408174947985295,0.043545119195576,0.0350666288903477
"14","Terrimonas","Herminiimonas",-0.545320411792747,0.159651539772147,0.0182950508826239,0.0507246614336721
"15","Oscillatoria","Herminiimonas",0.79897333323988,-0.15657200857851,0.0386846803746483,0.219189818560341
"16","Brenneria","Herminiimonas",-0.218187384920931,-0.16748148709967,0.0196816423928856,0.0148055186521893
"17","Thermobispora","Herminiimonas",0.907521661622082,-0.265120336960712,0.0226412644271342,0.0613112941571471
"18","Alkalilactibacillus","Capnocytophaga",1.07509161485372,-1.34632583859798,0.0409410340827274,0.0188957966132069
"19","P22-like_viruses","Capnocytophaga",-1.62339598876248,0.405415620078776,0.0086091304626952,0.0332282815591009
