"","inds","deps","slopes","intersects","sps","ips"
"1","P1-like_viruses","Methanosphaera",2.26904806879425,-1.52930672721156,0.0490846346914073,0.0514864714137512
"2","Cystobacter","Methanosphaera",-1.04690032025504,0.205732561963906,0.0209678418482242,0.150109981624539
"3","Bibersteinia","Methanosphaera",1.20426012010735,-0.419597186874306,0.0290522750304793,0.0588322850093011
"4","Sphaerotilus","Methanosphaera",2.06110814745818,-1.52930672721156,0.00424680678757135,0.00725653096402594
"5","Halanaerobium","Methanosphaera",0.737238966196919,0.0474239670361273,0.0320153521600785,0.622736699478127
"6","Terrabacter","Methanosphaera",-1.05947741317782,0.218309654886686,0.00814621305242733,0.0686375808253688
"7","Caldibacillus","Methanosphaera",-0.70122567847269,0.53903206229355,0.0461348840781489,0.0394518418040345
"8","Phi29-like_viruses","Methanosphaera",-1.33708083823277,0.111545439888093,0.00852926456608524,0.332465621047796
"9","Alkalilactibacillus","Polaromonas",-0.965797390197872,0.331521947432033,0.0494632833482522,0.0545142440844387
"10","Sphaerotilus","Polaromonas",0.778994076003088,-0.54576292221616,0.0100165335230363,0.0196279385037345
"11","Bilophila","Polaromonas",-0.866687040457541,0.39032542261551,0.0335099483875973,0.0429329629226327
"12","Faecalibacterium","Polaromonas",-1.03900486170902,0.137691875629011,0.0319090562662815,0.41356014699491
"13","Desulfotignum","Polaromonas",-0.990174440168051,0.355898997402212,0.0102956400667674,0.0158698776807117
"14","P22-like_viruses","Caldanaerobacter",0.43125405140796,-0.0615736133590602,0.0372600143179324,0.416315474427669
"15","Terrabacter","Caldanaerobacter",-1.95600869757995,-0.190984101685277,0.015597698397469,0.39546489502456
"16","Bergeyella","Alkalilimnicola",0.136856543523295,0.0340991363319963,0.00732471595041222,0.0285529156402074
"17","Algoriphagus","Alkalilimnicola",0.145170839225571,-0.28761110030791,0.0259440937764473,0.00756435149747676
"18","Aphanothece","Candidatus_Riesia",0.506851364927962,-0.117917575196712,0.039487091601178,0.149220448860277
