"","gene_counts","ave_change_d0_to_d3_direction_conserved_in_7_of_8"
"1","bactNOG03390","0.0101789170889952"
"2","NOG126236","0.129093436548803"
"3","COG3971","0.0628592842205925"
"4","NOG302149","0.00675780852220279"
"5","bctoNOG00096","0.0114627631123657"
"6","NOG70734","0.0224814595489165"
"7","NOG87940","0.0233984136881691"
"8","COG0820","0.186490980632768"
"9","NOG115856","0.00795162477513699"
"10","NOG328425","0.0127526195628927"
"11","COG0433","-0.136158159413146"
"12","arCOG04340","-0.0335477665552775"
"13","NOG299999","-0.00679905241228934"
"14","COG3567","-0.0399785014480493"
