"","nogs","rhos","ps"
"1","Beijerinckia",-0.359881281852722,0.0225522027837659
"2","Nostoc",0.31393900513649,0.0485233861891561
"3","Haloquadratum",0.347629994153976,0.0279529654608022
"4","Methylibium",-0.376726806163788,0.0165705876270317
"5","Anabaena",-0.355287045240402,0.0244653359268376
"6","Acidovorax",-0.332315921783447,0.0361659256688101
"7","Sulfurovum",0.398166537284851,0.0109415013058582
"8","Dialister",0.369139015674591,0.0190745385889657
"9","Methanobacterium",0.341255664825439,0.0311612235101983
"10","Sporanaerobacter",0.322084009647369,0.0426817486568547
"11","Candidatus_Cardinium",0.35468852519989,0.0247242254492357
"12","Candidatus_Endobugula",0.373369067907333,0.017642162821323
"13","Actinoallomurus",0.312920778989792,0.0492969095385254
